roulette_size,generator,number,repeats,correlation,counts
2,nativeRandom,,5066,0.0133,
2,nativeRandom,1,,,5036
2,nativeRandom,2,,,4964
2,lcg,,5025,0.0051,
2,lcg,1,,,5097
2,lcg,2,,,4903
2,xorshift,,5072,0.0145,
2,xorshift,1,,,4930
2,xorshift,2,,,5070
2,mulberry32,,5034,0.0068,
2,mulberry32,1,,,4953
2,mulberry32,2,,,5047
3,nativeRandom,,3352,-0.0015,
3,nativeRandom,1,,,3291
3,nativeRandom,2,,,3371
3,nativeRandom,3,,,3338
3,lcg,,3302,-0.0097,
3,lcg,1,,,3388
3,lcg,2,,,3326
3,lcg,3,,,3286
3,xorshift,,3300,-0.0098,
3,xorshift,1,,,3256
3,xorshift,2,,,3339
3,xorshift,3,,,3405
3,mulberry32,,3298,0.0104,
3,mulberry32,1,,,3332
3,mulberry32,2,,,3308
3,mulberry32,3,,,3360
4,nativeRandom,,2447,-0.0144,
4,nativeRandom,1,,,2486
4,nativeRandom,2,,,2549
4,nativeRandom,3,,,2497
4,nativeRandom,4,,,2468
4,lcg,,2498,-0.0044,
4,lcg,1,,,2580
4,lcg,2,,,2549
4,lcg,3,,,2407
4,lcg,4,,,2464
4,xorshift,,2556,0.0050,
4,xorshift,1,,,2554
4,xorshift,2,,,2493
4,xorshift,3,,,2427
4,xorshift,4,,,2526
4,mulberry32,,2547,0.0074,
4,mulberry32,1,,,2501
4,mulberry32,2,,,2592
4,mulberry32,3,,,2492
4,mulberry32,4,,,2415
5,nativeRandom,,1989,-0.0095,
5,nativeRandom,1,,,2022
5,nativeRandom,2,,,1948
5,nativeRandom,3,,,2005
5,nativeRandom,4,,,2016
5,nativeRandom,5,,,2009
5,lcg,,2002,-0.0068,
5,lcg,1,,,2046
5,lcg,2,,,2055
5,lcg,3,,,2012
5,lcg,4,,,1906
5,lcg,5,,,1981
5,xorshift,,2086,0.0098,
5,xorshift,1,,,1962
5,xorshift,2,,,2064
5,xorshift,3,,,2022
5,xorshift,4,,,1979
5,xorshift,5,,,1973
5,mulberry32,,2006,-0.0006,
5,mulberry32,1,,,2000
5,mulberry32,2,,,2026
5,mulberry32,3,,,2046
5,mulberry32,4,,,1979
5,mulberry32,5,,,1949
6,nativeRandom,,1665,0.0094,
6,nativeRandom,1,,,1660
6,nativeRandom,2,,,1647
6,nativeRandom,3,,,1676
6,nativeRandom,4,,,1709
6,nativeRandom,5,,,1650
6,nativeRandom,6,,,1658
6,lcg,,1627,-0.0171,
6,lcg,1,,,1709
6,lcg,2,,,1685
6,lcg,3,,,1726
6,lcg,4,,,1584
6,lcg,5,,,1645
6,lcg,6,,,1651
6,xorshift,,1753,0.0266,
6,xorshift,1,,,1657
6,xorshift,2,,,1713
6,xorshift,3,,,1650
6,xorshift,4,,,1675
6,xorshift,5,,,1646
6,xorshift,6,,,1659
6,mulberry32,,1653,0.0150,
6,mulberry32,1,,,1651
6,mulberry32,2,,,1587
6,mulberry32,3,,,1698
6,mulberry32,4,,,1675
6,mulberry32,5,,,1717
6,mulberry32,6,,,1672
7,nativeRandom,,1474,0.0077,
7,nativeRandom,1,,,1390
7,nativeRandom,2,,,1507
7,nativeRandom,3,,,1430
7,nativeRandom,4,,,1416
7,nativeRandom,5,,,1377
7,nativeRandom,6,,,1473
7,nativeRandom,7,,,1407
7,lcg,,1420,-0.0123,
7,lcg,1,,,1469
7,lcg,2,,,1464
7,lcg,3,,,1432
7,lcg,4,,,1427
7,lcg,5,,,1380
7,lcg,6,,,1417
7,lcg,7,,,1411
7,xorshift,,1430,0.0028,
7,xorshift,1,,,1422
7,xorshift,2,,,1363
7,xorshift,3,,,1443
7,xorshift,4,,,1407
7,xorshift,5,,,1432
7,xorshift,6,,,1448
7,xorshift,7,,,1485
7,mulberry32,,1349,-0.0116,
7,mulberry32,1,,,1417
7,mulberry32,2,,,1459
7,mulberry32,3,,,1414
7,mulberry32,4,,,1376
7,mulberry32,5,,,1414
7,mulberry32,6,,,1462
7,mulberry32,7,,,1458
8,nativeRandom,,1255,-0.0009,
8,nativeRandom,1,,,1285
8,nativeRandom,2,,,1214
8,nativeRandom,3,,,1263
8,nativeRandom,4,,,1283
8,nativeRandom,5,,,1255
8,nativeRandom,6,,,1281
8,nativeRandom,7,,,1209
8,nativeRandom,8,,,1210
8,lcg,,1229,-0.0122,
8,lcg,1,,,1270
8,lcg,2,,,1311
8,lcg,3,,,1228
8,lcg,4,,,1314
8,lcg,5,,,1185
8,lcg,6,,,1203
8,lcg,7,,,1243
8,lcg,8,,,1246
8,xorshift,,1268,0.0086,
8,xorshift,1,,,1257
8,xorshift,2,,,1240
8,xorshift,3,,,1237
8,xorshift,4,,,1263
8,xorshift,5,,,1246
8,xorshift,6,,,1276
8,xorshift,7,,,1222
8,xorshift,8,,,1259
8,mulberry32,,1209,0.0054,
8,mulberry32,1,,,1212
8,mulberry32,2,,,1198
8,mulberry32,3,,,1289
8,mulberry32,4,,,1232
8,mulberry32,5,,,1320
8,mulberry32,6,,,1218
8,mulberry32,7,,,1275
8,mulberry32,8,,,1256
9,nativeRandom,,1091,0.0088,
9,nativeRandom,1,,,1122
9,nativeRandom,2,,,1071
9,nativeRandom,3,,,1111
9,nativeRandom,4,,,1126
9,nativeRandom,5,,,1108
9,nativeRandom,6,,,1079
9,nativeRandom,7,,,1084
9,nativeRandom,8,,,1167
9,nativeRandom,9,,,1132
9,lcg,,1119,-0.0071,
9,lcg,1,,,1117
9,lcg,2,,,1183
9,lcg,3,,,1098
9,lcg,4,,,1114
9,lcg,5,,,1119
9,lcg,6,,,1076
9,lcg,7,,,1078
9,lcg,8,,,1100
9,lcg,9,,,1115
9,xorshift,,1105,-0.0021,
9,xorshift,1,,,1108
9,xorshift,2,,,1053
9,xorshift,3,,,1099
9,xorshift,4,,,1087
9,xorshift,5,,,1185
9,xorshift,6,,,1112
9,xorshift,7,,,1139
9,xorshift,8,,,1102
9,xorshift,9,,,1115
9,mulberry32,,1145,0.0047,
9,mulberry32,1,,,1149
9,mulberry32,2,,,1136
9,mulberry32,3,,,1079
9,mulberry32,4,,,1075
9,mulberry32,5,,,1078
9,mulberry32,6,,,1132
9,mulberry32,7,,,1128
9,mulberry32,8,,,1072
9,mulberry32,9,,,1151
10,nativeRandom,,991,0.0058,
10,nativeRandom,1,,,1032
