roulette_size,generator,number,repeats,correlation,counts
2,nativeRandom,,500768,0.0015,
2,nativeRandom,1,,,499647
2,nativeRandom,2,,,500353
2,lcg,,501079,0.0016,
2,lcg,1,,,512221
2,lcg,2,,,487779
2,xorshift,,499878,-0.0002,
2,xorshift,1,,,500483
2,xorshift,2,,,499517
2,mulberry32,,499562,-0.0009,
2,mulberry32,1,,,500381
2,mulberry32,2,,,499619
3,nativeRandom,,333020,-0.0017,
3,nativeRandom,1,,,333838
3,nativeRandom,2,,,333506
3,nativeRandom,3,,,332656
3,lcg,,329180,-0.0105,
3,lcg,1,,,340127
3,lcg,2,,,330796
3,lcg,3,,,329077
3,xorshift,,332407,-0.0016,
3,xorshift,1,,,333032
3,xorshift,2,,,332844
3,xorshift,3,,,334124
3,mulberry32,,333448,0.0004,
3,mulberry32,1,,,333439
3,mulberry32,2,,,332159
3,mulberry32,3,,,334402
4,nativeRandom,,251101,0.0007,
4,nativeRandom,1,,,250024
4,nativeRandom,2,,,250160
4,nativeRandom,3,,,250198
4,nativeRandom,4,,,249618
4,lcg,,249926,-0.0036,
4,lcg,1,,,258179
4,lcg,2,,,254067
4,lcg,3,,,240286
4,lcg,4,,,247468
4,xorshift,,250923,0.0007,
4,xorshift,1,,,249244
4,xorshift,2,,,249748
4,xorshift,3,,,250733
4,xorshift,4,,,250275
4,mulberry32,,250433,0.0012,
4,mulberry32,1,,,249964
4,mulberry32,2,,,250524
4,mulberry32,3,,,249486
4,mulberry32,4,,,250026
5,nativeRandom,,200038,-0.0005,
5,nativeRandom,1,,,200397
5,nativeRandom,2,,,200488
5,nativeRandom,3,,,199782
5,nativeRandom,4,,,199490
5,nativeRandom,5,,,199843
5,lcg,,200370,-0.0094,
5,lcg,1,,,203915
5,lcg,2,,,203874
5,lcg,3,,,201809
5,lcg,4,,,191186
5,lcg,5,,,199216
5,xorshift,,200595,0.0000,
5,xorshift,1,,,200800
5,xorshift,2,,,198856
5,xorshift,3,,,200242
5,xorshift,4,,,200408
5,xorshift,5,,,199694
5,mulberry32,,199698,0.0004,
5,mulberry32,1,,,200627
5,mulberry32,2,,,200219
5,mulberry32,3,,,199870
5,mulberry32,4,,,199494
5,mulberry32,5,,,199790
6,nativeRandom,,166671,-0.0001,
6,nativeRandom,1,,,166122
6,nativeRandom,2,,,166626
6,nativeRandom,3,,,166785
6,nativeRandom,4,,,166642
6,nativeRandom,5,,,166734
6,nativeRandom,6,,,167091
6,lcg,,163854,-0.0129,
6,lcg,1,,,171579
6,lcg,2,,,168574
6,lcg,3,,,172075
6,lcg,4,,,158699
6,lcg,5,,,163965
6,lcg,6,,,165108
6,xorshift,,166313,0.0011,
6,xorshift,1,,,165964
6,xorshift,2,,,167124
6,xorshift,3,,,166665
6,xorshift,4,,,165810
6,xorshift,5,,,167112
6,xorshift,6,,,167325
6,mulberry32,,166534,0.0011,
6,mulberry32,1,,,166530
6,mulberry32,2,,,167190
6,mulberry32,3,,,166411
6,mulberry32,4,,,166819
6,mulberry32,5,,,166553
6,mulberry32,6,,,166497
7,nativeRandom,,142605,-0.0002,
7,nativeRandom,1,,,143350
7,nativeRandom,2,,,142620
7,nativeRandom,3,,,142926
7,nativeRandom,4,,,142839
7,nativeRandom,5,,,142905
7,nativeRandom,6,,,142439
7,nativeRandom,7,,,142921
7,lcg,,141983,-0.0118,
7,lcg,1,,,146035
7,lcg,2,,,146090
7,lcg,3,,,143204
7,lcg,4,,,143606
7,lcg,5,,,138832
7,lcg,6,,,141013
7,lcg,7,,,141220
7,xorshift,,143153,0.0003,
7,xorshift,1,,,143080
7,xorshift,2,,,141999
7,xorshift,3,,,143532
7,xorshift,4,,,143093
7,xorshift,5,,,142393
7,xorshift,6,,,142892
7,xorshift,7,,,143011
7,mulberry32,,142640,-0.0017,
7,mulberry32,1,,,142659
7,mulberry32,2,,,143324
7,mulberry32,3,,,142982
7,mulberry32,4,,,142761
7,mulberry32,5,,,142626
7,mulberry32,6,,,143213
7,mulberry32,7,,,142435
8,nativeRandom,,124744,0.0001,
8,nativeRandom,1,,,125301
8,nativeRandom,2,,,125000
8,nativeRandom,3,,,124916
8,nativeRandom,4,,,124909
8,nativeRandom,5,,,125211
8,nativeRandom,6,,,124818
8,nativeRandom,7,,,124865
8,nativeRandom,8,,,124980
8,lcg,,124032,-0.0109,
8,lcg,1,,,127437
8,lcg,2,,,130702
8,lcg,3,,,123538
8,lcg,4,,,130529
8,lcg,5,,,118320
8,lcg,6,,,122003
8,lcg,7,,,124503
8,lcg,8,,,122968
8,xorshift,,125516,0.0002,
8,xorshift,1,,,124626
8,xorshift,2,,,125576
8,xorshift,3,,,125257
8,xorshift,4,,,124659
8,xorshift,5,,,124681
8,xorshift,6,,,125097
8,xorshift,7,,,125003
8,xorshift,8,,,125101
8,mulberry32,,125197,-0.0010,
8,mulberry32,1,,,124618
8,mulberry32,2,,,125133
8,mulberry32,3,,,125512
8,mulberry32,4,,,124748
8,mulberry32,5,,,125173
8,mulberry32,6,,,124890
8,mulberry32,7,,,125035
8,mulberry32,8,,,124891
9,nativeRandom,,111113,0.0006,
9,nativeRandom,1,,,110866
9,nativeRandom,2,,,111435
9,nativeRandom,3,,,111294
9,nativeRandom,4,,,110749
9,nativeRandom,5,,,111578
9,nativeRandom,6,,,110904
9,nativeRandom,7,,,111075
9,nativeRandom,8,,,111110
9,nativeRandom,9,,,110989
9,lcg,,111620,-0.0103,
9,lcg,1,,,111603
9,lcg,2,,,118196
9,lcg,3,,,110366
9,lcg,4,,,111412
9,lcg,5,,,112061
9,lcg,6,,,107298
9,lcg,7,,,106808
9,lcg,8,,,110374
9,lcg,9,,,111882
9,xorshift,,111189,-0.0001,
9,xorshift,1,,,111248
9,xorshift,2,,,110933
9,xorshift,3,,,111099
9,xorshift,4,,,111272
9,xorshift,5,,,111198
9,xorshift,6,,,110896
9,xorshift,7,,,111180
9,xorshift,8,,,110952
9,xorshift,9,,,111222
9,mulberry32,,111013,0.0015,
9,mulberry32,1,,,111366
9,mulberry32,2,,,111227
9,mulberry32,3,,,111627
9,mulberry32,4,,,110508
9,mulberry32,5,,,111049
9,mulberry32,6,,,111123
9,mulberry32,7,,,110939
9,mulberry32,8,,,111169
9,mulberry32,9,,,110992
10,nativeRandom,,99656,-0.0014,
10,nativeRandom,1,,,100008
10,nativeRandom,2,,,99903
10,nativeRandom,3,,,100478
10,nativeRandom,4,,,99954
10,nativeRandom,5,,,100008
10,nativeRandom,6,,,99917
10,nativeRandom,7,,,99765
10,nativeRandom,8,,,100173
10,nativeRandom,9,,,100104
10,nativeRandom,10,,,99690
10,lcg,,98603,-0.0126,
10,lcg,1,,,102439
10,lcg,2,,,101452
10,lcg,3,,,102024
10,lcg,4,,,101853
10,lcg,5,,,104424
10,lcg,6,,,97378
10,lcg,7,,,95449
10,lcg,8,,,95738
10,lcg,9,,,98250
10,lcg,10,,,100993
10,xorshift,,100713,0.0000,
10,xorshift,1,,,100065
10,xorshift,2,,,100104
10,xorshift,3,,,100295
10,xorshift,4,,,99850
10,xorshift,5,,,100281
10,xorshift,6,,,99908
10,xorshift,7,,,99886
10,xorshift,8,,,99668
10,xorshift,9,,,99720
10,xorshift,10,,,100223
10,mulberry32,,100663,0.0010,
10,mulberry32,1,,,99851
10,mulberry32,2,,,99798
10,mulberry32,3,,,100481
10,mulberry32,4,,,99887
10,mulberry32,5,,,100363
10,mulberry32,6,,,99592
10,mulberry32,7,,,100268
10,mulberry32,8,,,99469
10,mulberry32,9,,,100246
10,mulberry32,10,,,100045
11,nativeRandom,,91294,-0.0007,
11,nativeRandom,1,,,91009
11,nativeRandom,2,,,90855
11,nativeRandom,3,,,90873
11,nativeRandom,4,,,91099
11,nativeRandom,5,,,90885
11,nativeRandom,6,,,90829
11,nativeRandom,7,,,90816
11,nativeRandom,8,,,90840
11,nativeRandom,9,,,90679
11,nativeRandom,10,,,90663
11,nativeRandom,11,,,91452
11,lcg,,89600,-0.0117,
11,lcg,1,,,93526
11,lcg,2,,,91666
11,lcg,3,,,93641
11,lcg,4,,,91632
11,lcg,5,,,92900
11,lcg,6,,,90659
11,lcg,7,,,89116
11,lcg,8,,,87808
11,lcg,9,,,87710
11,lcg,10,,,89517
11,lcg,11,,,91825
11,xorshift,,91206,-0.0001,
11,xorshift,1,,,90402
11,xorshift,2,,,90779
11,xorshift,3,,,90647
11,xorshift,4,,,91306
11,xorshift,5,,,90703
11,xorshift,6,,,91447
11,xorshift,7,,,90850
11,xorshift,8,,,90968
11,xorshift,9,,,91173
11,xorshift,10,,,90411
11,xorshift,11,,,91314
11,mulberry32,,90355,-0.0017,
11,mulberry32,1,,,90509
11,mulberry32,2,,,90589
11,mulberry32,3,,,91197
11,mulberry32,4,,,90968
11,mulberry32,5,,,90700
11,mulberry32,6,,,91343
11,mulberry32,7,,,90938
11,mulberry32,8,,,90742
11,mulberry32,9,,,91295
11,mulberry32,10,,,90748
11,mulberry32,11,,,90971
12,nativeRandom,,83697,0.0008,
12,nativeRandom,1,,,83002
12,nativeRandom,2,,,84013
12,nativeRandom,3,,,83405
12,nativeRandom,4,,,83444
12,nativeRandom,5,,,83126
12,nativeRandom,6,,,83525
12,nativeRandom,7,,,83798
12,nativeRandom,8,,,83469
12,nativeRandom,9,,,83218
12,nativeRandom,10,,,83257
12,nativeRandom,11,,,82975
12,nativeRandom,12,,,82768
12,lcg,,78936,-0.0117,
12,lcg,1,,,87732
12,lcg,2,,,83878
12,lcg,3,,,86562
12,lcg,4,,,81969
12,lcg,5,,,84732
12,lcg,6,,,87335
12,lcg,7,,,79588
12,lcg,8,,,79118
12,lcg,9,,,81609
12,lcg,10,,,82360
12,lcg,11,,,81144
12,lcg,12,,,83973
12,xorshift,,83431,-0.0008,
12,xorshift,1,,,83731
12,xorshift,2,,,82861
12,xorshift,3,,,83300
12,xorshift,4,,,83317
12,xorshift,5,,,83432
12,xorshift,6,,,83441
12,xorshift,7,,,83179
12,xorshift,8,,,83420
12,xorshift,9,,,83190
12,xorshift,10,,,83501
12,xorshift,11,,,83334
12,xorshift,12,,,83294
12,mulberry32,,83097,0.0004,
12,mulberry32,1,,,83715
12,mulberry32,2,,,83535
12,mulberry32,3,,,83221
12,mulberry32,4,,,82619
12,mulberry32,5,,,83247
12,mulberry32,6,,,83264
12,mulberry32,7,,,83485
12,mulberry32,8,,,83731
12,mulberry32,9,,,83003
12,mulberry32,10,,,83281
12,mulberry32,11,,,83431
12,mulberry32,12,,,83468
13,nativeRandom,,77027,0.0013,
13,nativeRandom,1,,,76726
13,nativeRandom,2,,,77203
13,nativeRandom,3,,,76944
13,nativeRandom,4,,,76848
13,nativeRandom,5,,,76655
13,nativeRandom,6,,,77369
13,nativeRandom,7,,,76727
13,nativeRandom,8,,,76994
13,nativeRandom,9,,,76797
13,nativeRandom,10,,,76787
13,nativeRandom,11,,,76920
13,nativeRandom,12,,,77143
13,nativeRandom,13,,,76887
13,lcg,,78711,-0.0104,
13,lcg,1,,,81774
13,lcg,2,,,77114
13,lcg,3,,,79303
13,lcg,4,,,74621
13,lcg,5,,,78374
13,lcg,6,,,80155
13,lcg,7,,,76340
13,lcg,8,,,75771
13,lcg,9,,,73958
13,lcg,10,,,72811
13,lcg,11,,,77188
13,lcg,12,,,74708
13,lcg,13,,,77883
13,xorshift,,77528,0.0002,
13,xorshift,1,,,76887
13,xorshift,2,,,76908
13,xorshift,3,,,76932
13,xorshift,4,,,77385
13,xorshift,5,,,76809
13,xorshift,6,,,76742
13,xorshift,7,,,77170
13,xorshift,8,,,77261
13,xorshift,9,,,76618
13,xorshift,10,,,76758
13,xorshift,11,,,76990
13,xorshift,12,,,76781
13,xorshift,13,,,76759
13,mulberry32,,76606,-0.0014,
13,mulberry32,1,,,76643
13,mulberry32,2,,,76836
13,mulberry32,3,,,76893
13,mulberry32,4,,,76795
13,mulberry32,5,,,76739
13,mulberry32,6,,,77049
13,mulberry32,7,,,77577
13,mulberry32,8,,,77175
13,mulberry32,9,,,77064
13,mulberry32,10,,,76668
13,mulberry32,11,,,76963
13,mulberry32,12,,,76932
13,mulberry32,13,,,76666
14,nativeRandom,,71321,-0.0008,
14,nativeRandom,1,,,71736
14,nativeRandom,2,,,71197
14,nativeRandom,3,,,71341
14,nativeRandom,4,,,71467
14,nativeRandom,5,,,71594
14,nativeRandom,6,,,71749
14,nativeRandom,7,,,71735
14,nativeRandom,8,,,71144
14,nativeRandom,9,,,71553
14,nativeRandom,10,,,71300
14,nativeRandom,11,,,70964
14,nativeRandom,12,,,71385
14,nativeRandom,13,,,71327
14,nativeRandom,14,,,71508
14,lcg,,69101,-0.0119,
14,lcg,1,,,75965
14,lcg,2,,,70035
14,lcg,3,,,75566
14,lcg,4,,,70503
14,lcg,5,,,72911
14,lcg,6,,,70331
14,lcg,7,,,76916
14,lcg,8,,,66693
14,lcg,9,,,69939
14,lcg,10,,,68902
14,lcg,11,,,67546
14,lcg,12,,,73487
14,lcg,13,,,68598
14,lcg,14,,,72608
14,xorshift,,71390,-0.0011,
14,xorshift,1,,,71736
14,xorshift,2,,,71608
14,xorshift,3,,,71395
14,xorshift,4,,,71615
14,xorshift,5,,,71572
14,xorshift,6,,,71690
14,xorshift,7,,,71541
14,xorshift,8,,,70995
14,xorshift,9,,,71475
14,xorshift,10,,,70963
14,xorshift,11,,,71560
14,xorshift,12,,,71301
14,xorshift,13,,,71102
14,xorshift,14,,,71447
14,mulberry32,,71328,-0.0010,
14,mulberry32,1,,,71600
14,mulberry32,2,,,71517
14,mulberry32,3,,,71714
14,mulberry32,4,,,70972
14,mulberry32,5,,,71392
14,mulberry32,6,,,71577
14,mulberry32,7,,,70893
14,mulberry32,8,,,71679
14,mulberry32,9,,,71191
14,mulberry32,10,,,71381
14,mulberry32,11,,,71559
14,mulberry32,12,,,71406
14,mulberry32,13,,,71263
14,mulberry32,14,,,71856
15,nativeRandom,,67401,0.0007,
15,nativeRandom,1,,,67093
15,nativeRandom,2,,,67375
15,nativeRandom,3,,,66345
15,nativeRandom,4,,,66630
